"Effort reduction (%)","PD impact","L1 impact","Unfished area (%)","Decline in value (%)","Decline in weight (%)"
0,NA,NA,8.71,100,100
5,NA,NA,22.74,93.18,93.5
10,NA,NA,28.19,87.77,88.31
15,NA,NA,41.17,78.73,79.13
20,NA,NA,47.26,74.17,74.6
30,NA,NA,56.39,65.72,65.77
40,NA,NA,65.9,53.55,53.51
60,NA,NA,76.91,38.71,38.81
80,NA,NA,91.37,20.86,20.9
99,NA,NA,100,8.47,8.31
