"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,4.69,100,100
5,NA,NA,32.83,90.41,89.87
10,NA,NA,42.46,83.17,82.63
15,NA,NA,49.88,77.09,76.84
20,NA,NA,56.33,71.55,71.34
30,NA,NA,66.83,61.43,61.31
40,NA,NA,75.33,51.77,51.95
60,NA,NA,88.08,32.7,33.18
80,NA,NA,96.31,15.28,16.28
99,NA,NA,99.94,0.34,0.4
