"Indicators","0 to 200 m","200 to 800 m","more than 800 m"
"Average intensity (I-1)",1.58,1.87,0.02
"Proportion of area in fished cells (I-2)",0.83,0.79,0.08
"Proportion of area fished per year (I-3)",0.52,0.55,0.01
"Smallest  prop. of area in fished cells with 90% of fishing effort (I-4)",0.36,0.37,0.01
"Proportion of area in unfished cells (I-5)",0.17,0.21,0.92
"Average PD impact (I-6)",NA,NA,NA
"Average L1 impact (I-6)",NA,NA,NA
"Proportion of area with PD impact < 0.2 (I-7)",NA,NA,NA
"Proportion of area with L1 impact < 0.2 (I-7)",NA,NA,NA
