"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,1.41,100,NA
5,NA,NA,27.77,94.59,NA
10,NA,NA,39.77,89.86,NA
15,NA,NA,49.12,85.48,NA
20,NA,NA,56.39,81.3,NA
30,NA,NA,67.6,72.9,NA
40,NA,NA,75.86,63.98,NA
60,NA,NA,87.62,44.9,NA
80,NA,NA,95.77,24.03,NA
99,NA,NA,99.91,1.23,NA
