"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area swept (1000 km2)","8.15","138.71","713.28","25.72","0.49","5.08","82.36","0.02","23.66","<0.005"
"Landings (1000 tonnes)","16.84","25.17","126.7","8.94","9.06","0.85","7.17","0.01","16.03","0.07"
"Value (10^6 euro)","42.29","89.46","315.76","22.54","6.9","1.79","14.45","0.06","64.41","0.16"
"Landings (1000 tonnes)/Area swept (1000 km2)","2.07","0.18","0.18","0.35","18.52","0.17","0.09","0.42","0.68","22.84"
"Value (10^6 euro)/Area swept (1000 km2)","5.19","0.64","0.44","0.88","14.1","0.35","0.18","2.74","2.72","55.3"
