"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,1.83,100,100
5,NA,NA,27.25,94.24,94.09
10,NA,NA,39.28,88.13,89.48
15,NA,NA,47.81,83.84,84.84
20,NA,NA,54.77,79.52,80.31
30,NA,NA,65.72,70.47,70.98
40,NA,NA,74.49,60.78,61.55
60,NA,NA,87.05,42.17,42.52
80,NA,NA,95.12,21.9,20.97
99,NA,NA,99.87,1.35,1.11
