"Effort reduction (%)","PD impact","L1 impact","Unfished area (%)","Decline in value (%)","Decline in weight (%)"
0,NA,NA,41.25,100,100
5,NA,NA,67.63,93.01,92.83
10,NA,NA,73.6,87.32,84.21
15,NA,NA,77.67,81.52,76.68
20,NA,NA,80.86,75.91,68.93
30,NA,NA,85.64,64.87,58.36
40,NA,NA,89.08,55.42,48.73
60,NA,NA,94.23,35.74,31.99
80,NA,NA,97.92,15.95,14.11
99,NA,NA,99.97,0.3,0.01
