"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,0.06,0.74,5.83,100,100
5,0.05,0.61,38.05,95.35,92.45
10,0.05,0.54,45.76,90.93,87.73
15,0.05,0.47,53.36,86.14,82.77
20,0.05,0.43,57.45,81.62,78.3
30,0.04,0.34,66.05,70.11,66.52
40,0.03,0.28,72.78,61.36,58.08
60,0.02,0.16,84.81,41.7,38.65
80,0.01,0.06,95.09,18.8,18.03
99,0,0.01,100,2.93,3.09
