"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Landings (1000 tonnes)/PD impact",NA,0.02,0.29,NA,2.27,0.17,0.02,NA,NA,NA
"Value (10^6 euro)/PD impact",NA,0.07,0.36,NA,0.71,0.24,0.03,NA,NA,NA
"Landings (1000 tonnes)/L1 impact",NA,0.02,0.02,NA,0.05,0.01,0,NA,NA,NA
"Value (10^6 euro)/L1 impact",NA,0.07,0.02,NA,0.02,0.01,0,NA,NA,NA
