"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,0.01,0.2,42.9,100,100
5,0.01,0.17,74.91,80.43,67.75
10,0.01,0.15,81.36,55.51,24.29
15,0.01,0.12,84.6,52.17,23.57
20,0.01,0.11,87,39.66,6.52
30,0.01,0.08,90.99,33.26,5.4
40,0,0.06,93.91,27.7,4.42
60,0,0.03,96.88,18.23,2.94
80,0,0.01,98.8,8.06,1.25
99,0,0,100,2.09,0.34
