"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area swept (1000 km2)","0.07","<0.005","10.8","0","0.04","1.57","0","0","0","0"
"Landings (1000 tonnes)","10.38","<0.005","3.44","0","0.15","0.14","0","0","0","0"
"Value (10^6 euro)","1.26","<0.005","5.16","0","0.04","0.22","0","0","0","0"
"Landings (1000 tonnes)/Area swept (1000 km2)","159.63","0.04","0.32","NaN","3.79","0.09","NaN","NaN","NaN","NaN"
"Value (10^6 euro)/Area swept (1000 km2)","19.36","0.29","0.48","NaN","0.92","0.14","NaN","NaN","NaN","NaN"
