"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,0.07,0.87,6.62,100,100
5,0.07,0.77,23.3,93.43,92.84
10,0.06,0.64,36.99,88.97,88.55
15,0.06,0.6,41.36,84.65,84.29
20,0.06,0.54,51.69,78.95,78.59
30,0.05,0.43,60.1,68.4,68.51
40,0.04,0.4,64.1,60.18,60.52
60,0.03,0.28,79.8,43.93,44.67
80,0.02,0.13,93.67,25.04,25.85
99,0.01,0.06,100,14.45,14.95
