"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area swept (1000 km2)",9.71,97.43,521.69,31.55,12.99,146.33,216.68,55.04,109.38,0.02
"Landings (1000 tonnes)",44.87,14.14,482.47,12.97,69,8.8,22.26,26.09,64.55,1.8
"Value (10^6 euro)",104.18,62.89,245.18,31.99,16.38,17.14,44.35,94.54,235.03,2.47
"Landings (1000 tonnes)/Area swept (1000 km2)",4.62,0.15,0.92,0.41,5.31,0.06,0.1,0.47,0.59,87.42
"Value (10^6 euro)/Area swept (1000 km2)",10.73,0.65,0.47,1.01,1.26,0.12,0.2,1.72,2.15,119.84
