"Indicators","values"
"1. Intensity",2.08518479366999
"2. Proportion of cells fished",0.90671293596174
"3. Proportion of area fished",0.616918924526238
"4. Aggregation of fishing pressure",0.412107780240289
"5. Persistently unfished areas",0.0932870640382596
"6. Average impact",0.113082282438417
"7. Proportion of area with impact < 0.2",0.820045491659862
